abstract,paper
"This article documents the design and evaluation of a teacher development programme in computational thinking (CT) education. The results suggested that after taking a teacher development course (TDC), teachers enhanced their CT content knowledge; however, some teachers still did not have sufficient confidence in teaching CT in their classrooms. Subsequent modification to address this lack of confidence among this cohort of teachers is discussed.",The Design and Evaluation of a Teacher Development Programme in Computational Thinking Education
"This current study as part of multi-year design-based research reports our attempt to design and implement a course in teacher education in Korea. We have incorporated design thinking (DT) into the course design and investigated how primary teachers appreciate the role of DT and recognize the connection between teaching computational thinking and DT. This paper reports the course design, its progression, reflections, and learning outcomes.",Connecting Design Thinking and Computational Thinking in the Context of Korean Primary School Teacher Education
"As digital technology is increasingly a part of all sectors of society, educational approaches must be developed in order to nurture students’ ability to see the world through a computational lens. One way to achieve this goal is to promote Computational Thinking (CT) for young learners. The CoolThink@JC project is a four-year curriculum pilot designed to integrate CT into Hong Kong upper-primary level schools. The CoolThink framework for curriculum development is structured around computational concepts, practices and perspectives adapted from the framework of Brennan and Resnick (2012). This adapted framework motivated the choice of learning activities for CoolThink. This paper focuses on one aspect of that framework, namely computational practices. Here, we describe how activities in the CoolThink curriculum can promote the computational practices highlighted by the framework.",Curriculum Activities to Foster Primary School Students’ Computational Practices in Block-Based Programming Environments
"This study presents a sequential analysis of the relationship of emergent roles to student collaboration and computational thinking in the multi-dimensional problem space of educational robotics. The interactions of six groups (n=17) of middle-school aged girls participating in a one-day introduction to robotics workshop were video and audio recorded. Here we analyze one group of three girls’ interactions and the emergence of distinct roles that correlate with periods of collaboration and periods of parallel solo work, which, in turn, impact student’s engagement in computational thinking including solution planning, algorithmic operations, and design of the robotic device. Suggestions for future research are provided.","Emergent Roles, Collaboration and Computational Thinking in the MultiDimensional Problem Space of Robotics"
"Computational Thinking (CT) has become popular in recent years and has been recognized as an essential skill for the digital generation. Students are exposed to computational thinking when they do programming, and MIT App Inventor is currently one of the most popular block based programming environments. Meanwhile, Design thinking is considered as a creative, humancentred, participative, exploratory and problem-solving process that values different perspectives of a problem. In this study, we aim to bring the design thinking in a curriculum framework of K-12 to promote computational thinking by App Inventor. The future work is to implement and evaluate CT curriculum.",A Framework of Computational Thinking Curriculum for K-12 with Design Thinking by App Inverntor
"Programming is one of the important literacies in the digital age. The acquisition of such knowledge and skills is of vital importance to the next generation. This study aimed to develop and validate an instrument to measure programming self-efficacy of senior primary school learners (Grade 4 - Grade 6) in a block-based environment. The proposed scale consisted of two subcomponents related to learners’ perceptions of their own competence in (1) programming knowledge and (2) programming skills. In order to assess the validity of the scale, online questionnaires were distributed to 106 primary school students who joined a course of a new programming curriculum. The objective of the curriculum is to nurture young learners to solve daily life problems. The reliability of the scale was good. The confirmatory factor analysis (CFA) supported the validity of the instrument. More specifically, results indicated that the hypothesized measurement model of the scale fit the data collected. It confirmed that the scale was valid and adequate for measuring programming self-efficacy of senior primary school learners. Theoretical and practical implications of this study were discussed at the end of the paper.",Development and Validation of a Programming Self-Efficacy Scale for Senior Primary School Learners
"Computational thinking is well-known in computer science and is currently entering the field of education. Due to changes in the private and professional life by modern technologies all students are with increasing relevance expected to possess sufficient knowledge in computer-related problem-solving (e.g. Fraillon et al., 2014). The acquisition of key competences related to this assumes an enhancement of knowledge in learning as well as computational thinking processes. Although many concepts for computational thinking education have been created (e.g. Barr & Stephenson, 2011; Krauss & Prottsman, 2017), in fact, an evidence-based competence model is not yet available, thereby it represents a significant desideratum. Considering these aspects, the contribution at hand aims to contribute to this and focuses on the construction and investigation of a model, taken theoretical aspects and the current state of research into account. The principle of this procedure is to break down the term and construct of ‘computational thinking’ to core elements by working with a literacy approach and presuppose that computational thinking can only be implemented in lessons in a competence-oriented way referring to an evidence-based approach to computational thinking as a key competence of the 21st century. Starting from this, the research presented in this paper describes and explains preliminary work in the context of the preparation of IEAICILS 2018 (International Computer and Information Literacy Study). In this context, the authors of this paper are involved as members of the national study center in Germany, which is among other countries taking part in this international study.",Computational Thinking as a Key Competence – a Research Concept
"This study aimed to uncover the underlying mental processes that might facilitate creative thinking after listening to a 10-min music excerpt. A qualitative component was incorporated in a quantitative study regarding the effect of music listening on creative thinking. Among 192 participants, a total of 24 college students were interviewed immediately after they listened to the 10-min music excerpts and completed some creativity tasks. The results suggested a possible facilitative role of music listening on creative thinking through optimizing individuals’ arousal level, and strengthening individuals’ associative abilities, holistic perception and abstraction. As these mental processes are also important attributes of computational thinking (CT), the findings may shed light on the favourable impact of music listening on CT.",Can Music Exposure Enhance Computational Thinking? Insights from the Findings on the Music-Creativity Relations
"The KIBO robotics kit offers a playful and tangible way for young children to learn computational thinking skills by building and programming a robot. KIBO is specifically designed for children ages 4-7 years old and was developed by the DevTech research group at Tufts University through nearly a decade of research funded by the National Science Foundation. KIBO allows young children to become engineers by constructing robots using motors, sensors, and craft materials. Children also become programmers by exploring sequences, loops, and variables. Through programming KIBO, children engage with computational thinking skills and ideas including algorithms, modularity, and control structures. Unlike other programming interfaces for children, the KIBO robot is programmed to move or to respond to sensor input by using tangible programming blocks—no computer, tablet, or screen-time required. This paper provides an overview of the design features of KIBO and a synthesis of the research that has been done throughout the development of this kit. It provides examples of curriculum for playfully engaging young children with computational thinking using KIBO.","Imagining, Playing, and Coding with KIBO: Using Robotics to Foster Computational Thinking in Young Children"
"ScratchJr is a free programming application for young children ages 5-7, available for most tablet devices. This programming environment, developed by the DevTech Research Group at Tufts University, the Lifelong Kindergarten Group at MIT, and the Playful Invention Company, was launched in July, 2014. During the first year after the app’s launch, no information was collected regarding usage other than informal communication with local educators and parents. Starting in January 2016, the ScratchJr team began to use the tool Google Analytics to gain a deeper insight into user behavior, and began to investigate the learning analytics data that could shed light on computational thinking in early childhood. This paper presents the first year of user data collection of ScratchJr",Programming with ScratchJr: a review of the first year of user analytics
"This paper shares the background, vision, the eclectic approach and sharing of the technology-supported initiatives introduced for young children in the network of 129 My First Skool (MFS) childcare centres in Singapore. Focus is given to the communication of a widespread initiative to bring multiple technologies to young children in a large network of schools and systemic provisions for teacher equipping to use these technologies.","Technology Strategy Mapping in My First Skool Childcare Centres, Singapore"
"This paper argues that the various problems caused by the traditional mathematical approach to teaching discrete mathematics to computing students can be alleviated by way of integrating computational thinking into discrete mathematics. The paper proposes a combination of three ideas to facilitate such integration: (a) aiming at understanding the notion of computation, (b) emphasizing both abstraction and automation, and (c) incorporating a functional programming language. The paper exemplifies a plausible approach to developing computational thinking in higher education, namely, through integrating it with an existing subject.",Integrating Computational Thinking into Discrete Mathematics
"The task of learning programming is a complex process that requires students to simultaneously master the syntax and programming tool while applying problem-solving skills to the given situation. Failure to do so have led to students dropping out of computer science programs and students being disenchanted with programming to the point that these graduates are reluctant to practice in the field. To counter this issue, problem-solving training is sometimes introduced before programming to introduce them to primary concepts of program design and programming without the complexity of syntax and tools as a hindrance. However, problem-solving skills is not something that can be developed over a short period of time. For some, it takes time, practice and effort in which semester long courses do not permit. Previous studies have shown that games can be used as educational tools in the classroom. However, video games are frequently overlooked as an educational tool in favor of serious games. In this paper, we analyze the game play of selected game titles to determine if existing video games contain activities that can be associated to each of the five core skills that characterize computational thinking within the Computer Science discipline.",Computational Thinking Affordances in Video Games
"Textile and apparel industry has long been stereotyped as “traditional” and “old-fashioned”. As a non-traditional company in a traditional industry, Esquel encourages employees to innovate and to challenge the status quo. “You can code” campaign was initiated in 2015 to engage and propel staff at all levels towards its vision of “Making a Difference”. The campaign aims to drive a sustained cultural transformation to turn the less technically minded employees into confident users of technology with computational thinking (CT) ability, through developing a mobile apps. Many useful mobile apps have been developed and some have been commercially adopted. The campaign helps the Company to nurture a culture of innovation, problem-solving and collaboration.",You Can Code – An innovative approach to transform the workforce in the textile and apparel industry
"This paper discusses the opportunities presented by the growth of the Internet of Things (IoT) to provide youth opportunities to develop their computational thinking and digital empowerment. This paper argues that to support youth in developing these literacies, we need to develop platforms that reduce the barriers of entry while still allowing them to explore and develop their computational identities. To this end, this paper introduces an extension to App Inventor by MIT that enables students to quickly design, develop, and implement IoT applications. We outline one IoT activity for youth and future directions for both curricular and technical development.","Off the Screen, and Into the World of Everyday Objects: Computational Thinking for Youth with the Internet of Things"
"The Malaysian Ministry of Education aims to increase interest in learning Science, Technology, Engineering and Mathematics, through Science2Action. Among these initiatives in Science2Action, is the use of Art(s). By combining the Internet, technology and crafts, e-crafting is formed. This e-crafting project aims to increase awareness about what interests the audience through sharing of and development of craft, hopefully towards possibilities of ideation and mixing crafts, extending from the original craft such as origami. Designed based on the Technology Acceptance Model, findings are positive.",Developing interest to share and craft based on the Technology Acceptance Model
"Computational thinking (CT) is emerging as a key set of problem-solving skills that must be developed by the new generations of digital learners. However, there is still a lack of consensus on a formal CT definition, on how CT should be integrated in educational settings, and specially on how CT can be properly assessed. The latter is an extremely relevant and urgent topic because without reliable and valid assessment tools, CT might lose its potential of making its way into educational curricula. In response, this paper is aimed at presenting the convergent validity of one of the major recent attempts to assess CT from a summative-aptitudinal perspective: the Computational Thinking Test (CTt). The convergent validity of the CTt is studied in middle school Spanish samples with respect to other two CT assessment tools, which are coming from different perspectives: the Bebras Tasks, built from a skill-transfer approach; and Dr. Scratch, an automated tool designed from a formativeiterative approach. Our results show statistically significant, positive and moderately intense, correlations between the CTt and a selected set of Bebras Tasks (r=0.52); and between the CTt and Dr. Scratch (predictive value r=0.44; concurrent value r=0.53). These results support the statement that CTt is partially convergent with Bebras Tasks and with Dr. Scratch. Finally, we discuss if these three tools are complementary and may be combined in middle school.",Complementary Tools for Computational Thinking Assessment
"This paper introduces the concept of a virtual reality (VR) programming environment that allows youth to both develop immersive VR experiences while enhancing computational thinking (CT). Specifically, we extended a blocks-based programming platform, MIT App Inventor, to allow youth to make VR Android apps (AI/VR). We compare AI/VR's support for CT to other existing VR editors using the CT concepts established by Brennan and Resnick (2012). Comparisons showed that AI/VR’s support for all CT concepts and its ease of use for kids, makes it more preferable for teaching CT compared to other editors.",App Inventor VR Editor for Computational Thinking
"Many countries that recognize the importance of Computational Thinking skills are implementing curriculum changes to integrate the development of these skills and to introduce coding into formal school education. Singapore has introduced new programmes from Pre-school to Secondary children to develop Computational Thinking skills and introduce programming. A major change in the secondary school syllabus is the introduction of a new Computing subject taken at “O” levels. The new subject emphasizes on the development of Computational Thinking skills and coding in Python. Students are expected to apply technology for creating solutions to solve problems. In this paper, we describe the various initiatives in Singapore for Preschool, Primary and Secondary schools. From initiatives in these three school going groups, we review Singapore’s approach to implementation of learning Computational Thinking. Unlike several countries that has decided to implement computing as compulsory education, Singapore has taken a route of creating interest amongst children in Computing in age-appropriate ways. Singapore’s pragmatic approach is characterized by opt-in by schools, nurturing students’ interest in computing, upskilling teachers in computing, and a multi-agency approach.",Computational Thinking and Coding Initiatives in Singapore
"Collaboration becomes increasingly important in programming as projects become more complex. With traditional text-based programming languages, programmers typically use a source code management system to manage the code, merge code from multiple editors, and optionally lock files for conflict-free editing. There is a limited corpus of work around collaborative editing of code in visual programming languages such as block-based programming. We propose an extension to MIT App Inventor, a web-based visual platform for building Android applications with blocks, which will enable many programmers to collaborate in real-time on MIT App Inventor projects. We take the position that real-time collaboration within MIT App Inventor will encourage students in a group environment to interact with one another in ways that help them improve each other’s understanding and practice of computational thinking practices that may not be achieved in the traditional one user-one project paradigm that is currently provided.",Enabling Multi-User Computational Thinking with Collaborative Blocks Programming in MIT App Inventor
"In the context of integrating Computational Thinking (CT) in Primary School Education, we examine the selfdevelopment of undergraduate students during their engagement as Teaching Assistants (TAs) in CT Education. More specifically, we propose to adopt the stress-adaptation-growth process of the Intercultural Transformation Theory (ITT) as a framework to provide evidences of the self-development of TAs in the CoolThink@JC project of Hong Kong. The collected data confirms the evidences of the stress-adaptationgrowth process of TAs engagement, which helps transforming undergraduate students into co-teachers with commitment to future civic involvement.",Evidences of Self-Development of TAs in CT Education
"The evolution of Cloud computing makes the major changes in computing world as with the assistance of basic cloud computing service models like SaaS, PaaS, and IaaS an organization achieves their business goal with minimum effort as compared to traditional computing environment. On the other hand security of the data in the cloud database server is the key area of concern in the acceptance of cloud. It requires a very high degree of privacy and authentication. To protect the data in cloud database server cryptography is one of the important methods. Cryptography provides various symmetric and asymmetric algorithms to secure the data. This paper presents the symmetric cryptographic algorithm named as AES (Advanced Encryption Standard). It is based on several substitutions, permutation and transformation.",Enhancement of Cloud Computing Security with Secure Data Storage using AES
"Cloud computing providers offer two different pricing schemes when renting virtual machines: reserved instances and ondemand instances. On-demand instances are paid only when utilized and they are useful to satisfy a fluctuating demand. Conversely, reserved instances are paid for a certain time period and are independent of usage. Since reserved instances require more commitment from users, they are cheaper than on-demand instances. However, in order to be cost-effective compared to on-demand instances, they have to be extensively utilized. This work focuses on finding the optimal combination of on-demand and reserved instances, such that the demand is satisfied and the costs minimized. To achieve this goal, this study introduces a stochastic model of the resources, based on Inventory Theory. The idea is to formulate the optimization problem as an inventory-keeping problem and then derive the optimal strategy. The paper evaluates the proposed model using data from an industry case, comparing the performance with a brute-force approach. The conducted experiments show that the Inventory Theory model provides accurate results and potentially allows prior research on Inventory Theory to be applied to optimal cloud provisioning.",Inventory Theory Applied to Cost Optimization in Cloud Computing
"Cloud computing has been popular as the IT architecture. Cloud service providers offer many services based on cloud computing. Cloud storage service is the cloud services which can provide a huge storage space to solve the bottleneck of the storage space of local end users. However, cloud storage service may have data security because the users’ data is not stored in their own storage. In this paper, we will focus on data integrity in the cloud storage service. Public auditability is a model of outsourcing data integrity verification, which can achieve efficiency and security. Therefore, we survey the previous researches of data integrity based on public auditability which includes collecting the basic requirements and evaluation metrics, providing the representative with approaches to analyze security and efficiency. Finally, we propose some future developments.",A Survey of Public Auditing for Secure Data Storage in Cloud Computing
"Cloud is a Pool of servers, all the servers are interconnected through internet, The main problem in cloud is retrieving of data (knowledge) and process that variety of data and here other problem is security for that data, Generally now a day?s different types of, I mean variety of data (Structured, semi-structured and Unstructured data) is existed in the different social applications (face book).So, and another problem with historical data retrieving. These types of problems are resolved with help of hadoop frame work and Sqoop and flume tools. Sqoop is load the data from database to Hadoop (HDFS), and flume loads the data from server files to hadoop distributed file system. Storage problem is resolving with help of blocks in hadoop distributed file system and processing is resolving with help of map reduce and pig and hive and spark etc. This paper summarizes the storage and processing speed in the enhanced cloud with hadoop framework.",Storage and Processing Speed for Knowledge from Enhanced Cloud Computing With Hadoop Frame Work : A Survey
"With the help of new technology and methodology it has become possible to manage very large amount of sensing data and apply new integrated computing models to acquire information intelligence This paper elaborates how the Internet Consumer industry has innovated at rapid pace, explores how this. This paper offers a user oriented approach to the specification of requirement for the effective management of urban areas. This paper also explores how such an enterprise transformation has fundamentally changed the business scenario in the telecom industry.",Cloud Computing for Agent-Based Urban Transportation System
"To facilitate extensive collaborations, today’s organizations raise increasing needs for information sharing via ondemand information access. Information Brokering System (IBS) a top a peer-to-peer overlay has been proposed to support information sharing among loosely federated data sources. It consists of diverse data servers and brokering components, which help client queries to locate the data servers. However, many existing IBSs adopt server side access control deployment and honest assumptions on brokers, and shed little attention on privacy of data and metadata stored and exchanged within the IBS. In this article, we study the problem of privacy protection in information brokering process. We first give a formal presentation of the threat models with a focus on two attacks: attribute-correlation attack and inference attack. Then, we propose a broker-coordinator overlay, as well as two schemes, automaton segmentation scheme and query segment encryption scheme, to share the secure query routing function among a set of brokering servers. With comprehensive analysis on privacy, end to- end performance, and scalability, we show that the proposed system can integrate security enforcement and query routing while preserving system-wide privacy with reasonable overhead. Finally, T-broker uses a lightweight feedback mechanism, which can effectively reduce networking risk and improve system efficiency. The experimental results show that, compared with the existing approaches, our T-broker yields very good results in many typical cases, and the proposed system is robust to deal with various numbers of dynamic service behavior from multiple cloud sites.",Secure and Trusted Information Brokering In Cloud Computing
"To plan and improve a fuzzy logic and neural network based trust and reputation model for safe resource allocation in cloud computing is the most important motto of this research. Among the IT professionals in current scenario, the cloud computing is one of the main topics conversed. Now, to revise the security, we employ the trust manager and reputation manager in our proposed approach At first, the user access a resource block through the scheduling manager and a structure will send to the user following accessing the resource block to fill the characteristic values of Trust Factor (TF) and Reputation Factor (RF). The TF and reputation value is after that computed for the resource center and it is specified to the fuzzy logic system and neural network to obtain the Security Score (SS) of a resource center. To offer the security controls is the advantage of our suggested method in accessing the cloud resources from cloud computing owing to different security issues occurred in networks, databases, resource scheduling, transaction management and load balancing",Designing a Fuzzy-Logic Based Trust and Reputation Model for Secure Resource Allocation in Cloud Computing
"Host-side flash caching has emerged as a promising solution to the scalability problem of virtual machine (VM) storage in cloud computing systems, but it still faces serious limitations in capacity and endurance. This paper presents CloudCache, an on-demand cache management solution to meet VM cache demands and minimize cache wear-out. First, to support on-demand cache allocation, the paper proposes a new cache demand model, Reuse Working Set (RWS), to capture only the data with good temporal locality, and uses the RWS size (RWSS) to model a workload’s cache demand. By predicting the RWSS online and admitting only RWS into the cache, CloudCache satisfies the workload’s actual cache demand and minimizes the induced wear-out. Second, to handle situations where a cache is insufficient for the VMs’ demands, the paper proposes a dynamic cache migration approach to balance cache load across hosts by live migrating cached data along with the VMs. It includes both on-demand migration of dirty data and background migration of RWS to optimize the performance of the migrating VM. It also supports rate limiting on the cache data transfer to limit the impact to the co-hosted VMs. Finally, the paper presents comprehensive experimental evaluations using real-world traces to demonstrate the effectiveness of CloudCache.",CloudCache: On-demand Flash Cache Management for Cloud Computing
"Cyber-Physical Systems (CPS) are engineered systems combining computation, communications, and physical resources. The purpose of this chapter is to provide an overview of the emerging field of CPS security. In contrast to the other chapters in this book, which can trace the roots of their fields back to several decades, the work on CPS security is relatively new, and our community has not yet developed the same consensus on best practices. Therefore, in this document we focus on providing an overview of the research trends and unique characteristics in this field.",Cyber-Physical Systems Security
